ID,Title,Location,Salary,Summary
https://kr.indeed.com/viewjob?jk=job_bb7e150aefb54f84,,,,통신·모바일·게임>빅데이터·AI(인공지능)>데이터분석|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)> Python|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)>머신러닝|인터넷·IT·통신·모바일·게임>빅데이터...
https://kr.indeed.com/viewjob?jk=job_2b9e604e63e7e46d,,,,"우대사항 - 전자금융 감독규정, PCIDSS에 대한 실무 경험이나 이해도가 높으신 분 - JAVA, Python, shell script 등 개발 역량을 갖추신 분 - 웹/앱 취약점 진단 및 모의해킹 역량을 갖추신..."
https://kr.indeed.com/viewjob?jk=job_ce8a55e3c9e70f89,,,,"공학)/수학/통계 관련 전공자 - 금융 분야 또는 B2C 서비스, 플랫폼 운영/기획 경험 보유자 - Python/R/Java 등 분석 및 프로그래밍 언어 사용 경험자 - 은행 등 금융권 데이터 기획/운영/PM 관련..."
https://kr.indeed.com/viewjob?jk=job_86e5af01ca32a5c7,,,,인공지능)>데이터마이닝|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)>빅데이터|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)>데이터분석|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)> Python
https://kr.indeed.com/viewjob?jk=job_49fd1a7248d3ff47,,,,"commit to a minimum of a 6 month internship * Fluency in Python and ML libraries like Scikit-learn, PyTorch or Tensorflow..."
https://kr.indeed.com/viewjob?jk=job_11edb836898edd00,,,,0-day 취약점 발견 [지원자격/필요역량]- 모의해킹 경력 2년 이상- 리버싱 및 웹 해킹 기술 보유- Python 프로그래밍 능력 [우대사항]- 해킹 대회 입상 경험을 보유하신 분- CVE 등록 경험을 보유하신 분 인터넷...
https://kr.indeed.com/viewjob?jk=job_5c466b72dcc66bfe,,,,"직무내용] 담당업무 ㆍ영상처리 & 머신러닝 시스템 개발, 통신(TCP/IP, Serial), FTP, DB 지원자격 ㆍ경력 : 신입/경력 2년 이상학력 : 초대졸(2년제)이상연봉 : 면접후 결정우대사항ㆍ전기/전자공학, 컴퓨터..."
https://kr.indeed.com/viewjob?jk=job_8196e4b257c99ea3,,,,"support. Experience software verification in C++ or C or python or code coverage (LDRA) Demonstrated creative, critical..."
https://kr.indeed.com/viewjob?jk=job_cc502fb17159c01f,,,,"계열 경험 우대• 추천, 캠페인 타겟팅 관련 성과 분석 경험 우대• Python PANDAS 또는 기타 언어를 이용한 데이터처리 경험 우대 ※ 고용... DBA>NoSQL|인터넷·IT·통신·모바일·게임>응용프로그래머> Python"
https://kr.indeed.com/viewjob?jk=job_7fd391b9dd98c526,,,,통신·모바일·게임>빅데이터·AI(인공지능)> Python|인터넷·IT·통신·모바일·게임>응용프로그래머>머신러닝(ML)|인터넷·IT·통신·모바일·게임>응용프로그래머> Python|인터넷·IT·통신·모바일·게임>데이터베이스·DBA>SQL
https://kr.indeed.com/viewjob?jk=job_b4a7ac21faba2e67,,,,"분을 찾고 있어요 널리 쓰이는 프로그래밍 언어(Golang, java, python, c++, javascript 등) 한 가지 이상에 능숙하신 분... 통신·모바일·게임>응용프로그래머> Python|인터넷·IT·통신·모바일·게임..."
